Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Date,Request Hour,Request Day,Drop Date,Drop Hour,Time Slot,Trip Duration (min),Status Category
2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,2016-07-13,5,Wednesday,2016-07-13,6.0,Early Morning,35.65,Success
3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,2016-07-13,19,Wednesday,2016-07-13,20.0,Evening,34.083333333333336,Success
4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2016-07-14,2,Thursday,2016-07-14,3.0,Night,64.05,Success
4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,2016-07-14,13,Thursday,2016-07-14,13.0,Afternoon,44.3,Success
5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,2016-07-15,8,Friday,2016-07-15,9.0,Morning,67.23333333333333,Success
6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,2016-07-15,15,Friday,2016-07-15,15.0,Afternoon,46.18333333333333,Success
312,City,5.0,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,2016-07-11,7,Monday,2016-07-11,8.0,Early Morning,64.0,Success
577,Airport,5.0,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,2016-07-11,11,Monday,2016-07-11,12.0,Morning,58.0,Success
1179,City,5.0,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,2016-07-11,20,Monday,2016-07-11,21.0,Night,47.0,Success
1756,Airport,5.0,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,2016-07-12,8,Tuesday,2016-07-12,9.0,Morning,43.0,Success
2052,City,5.0,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,2016-07-12,14,Tuesday,2016-07-12,15.0,Afternoon,62.0,Success
2559,City,5.0,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,2016-07-12,21,Tuesday,2016-07-12,22.0,Night,57.0,Success
3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,2016-07-13,7,Wednesday,2016-07-13,8.0,Early Morning,61.55,Success
3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,2016-07-13,12,Wednesday,2016-07-13,12.0,Afternoon,32.18333333333333,Success
4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,2016-07-14,6,Thursday,2016-07-14,7.0,Early Morning,66.61666666666666,Success
5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,2016-07-15,9,Friday,2016-07-15,10.0,Morning,58.28333333333333,Success
6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,2016-07-15,22,Friday,2016-07-15,23.0,Night,69.31666666666666,Success
1517,Airport,6.0,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,2016-07-12,5,Tuesday,2016-07-12,6.0,Early Morning,43.0,Success
1999,Airport,6.0,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,2016-07-12,13,Tuesday,2016-07-12,13.0,Afternoon,49.0,Success
2960,Airport,6.0,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,2016-07-13,6,Wednesday,2016-07-13,7.0,Early Morning,50.03333333333333,Success
3882,City,6.0,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,2016-07-13,21,Wednesday,2016-07-13,22.0,Night,52.35,Success
4081,Airport,6.0,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2016-07-14,2,Thursday,2016-07-14,3.0,Night,53.21666666666667,Success
4740,City,6.0,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,2016-07-14,14,Thursday,2016-07-14,15.0,Afternoon,48.11666666666667,Success
5270,City,6.0,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,2016-07-14,21,Thursday,2016-07-14,22.0,Night,51.8,Success
6758,Airport,6.0,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,2016-07-15,0,Friday,2016-07-15,1.0,Night,64.0,Success
5741,City,6.0,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,2016-07-15,7,Friday,2016-07-15,8.0,Early Morning,46.06666666666667,Success
6087,Airport,6.0,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,2016-07-15,14,Friday,2016-07-15,15.0,Afternoon,65.05,Success
1039,City,7.0,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,2016-07-11,19,Monday,2016-07-11,20.0,Evening,70.0,Success
1273,Airport,7.0,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,2016-07-11,22,Monday,2016-07-11,23.0,Night,65.0,Success
2480,City,7.0,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,2016-07-12,20,Tuesday,2016-07-12,21.0,Night,49.0,Success
4105,City,7.0,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,2016-07-14,3,Thursday,2016-07-14,4.0,Night,59.43333333333333,Success
4509,City,7.0,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,2016-07-14,9,Thursday,2016-07-14,10.0,Morning,65.8,Success
4986,Airport,7.0,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,2016-07-14,18,Thursday,2016-07-14,19.0,Evening,58.416666666666664,Success
5898,City,7.0,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,2016-07-15,9,Friday,2016-07-15,10.0,Morning,50.18333333333333,Success
6142,Airport,7.0,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,2016-07-15,15,Friday,2016-07-15,16.0,Afternoon,46.68333333333333,Success
380,Airport,8.0,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,2016-07-11,8,Monday,2016-07-11,9.0,Morning,60.0,Success
1050,Airport,8.0,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,2016-07-11,19,Monday,2016-07-11,20.0,Evening,51.0,Success
1769,City,8.0,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,2016-07-12,8,Tuesday,2016-07-12,9.0,Morning,27.0,Success
2520,City,8.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,2016-07-12,21,Tuesday,2016-07-12,22.0,Night,75.0,Success
3265,Airport,8.0,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,2016-07-13,10,Wednesday,2016-07-13,11.0,Morning,44.916666666666664,Success
4648,City,8.0,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,2016-07-14,11,Thursday,2016-07-14,12.0,Morning,64.4,Success
449,Airport,9.0,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,2016-07-11,9,Monday,2016-07-11,9.0,Morning,44.0,Success
846,Airport,9.0,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,2016-07-11,17,Monday,2016-07-11,18.0,Evening,66.0,Success
1346,Airport,9.0,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,2016-07-11,23,Monday,2016-07-12,0.0,Night,44.0,Success
1474,Airport,9.0,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,2016-07-12,5,Tuesday,2016-07-12,5.0,Early Morning,43.0,Success
2240,City,9.0,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,2016-07-12,18,Tuesday,2016-07-12,18.0,Evening,34.0,Success
3072,Airport,9.0,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,2016-07-13,8,Wednesday,2016-07-13,8.0,Morning,31.666666666666668,Success
3459,Airport,9.0,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,2016-07-13,17,Wednesday,2016-07-13,17.0,Evening,28.316666666666666,Success
3774,Airport,9.0,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,2016-07-13,20,Wednesday,2016-07-13,21.0,Night,46.083333333333336,Success
4023,City,9.0,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,2016-07-13,23,Wednesday,2016-07-14,0.0,Night,59.96666666666667,Success
4117,City,9.0,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,2016-07-14,4,Thursday,2016-07-14,5.0,Early Morning,45.416666666666664,Success
4880,Airport,9.0,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,2016-07-14,17,Thursday,2016-07-14,19.0,Evening,63.93333333333333,Success
5568,Airport,9.0,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,2016-07-15,5,Friday,2016-07-15,6.0,Early Morning,38.0,Success
5994,Airport,9.0,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,2016-07-15,11,Friday,2016-07-15,12.0,Morning,40.93333333333333,Success
1809,Airport,10.0,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,2016-07-12,9,Tuesday,2016-07-12,10.0,Morning,48.0,Success
2064,Airport,10.0,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,2016-07-12,15,Tuesday,2016-07-12,16.0,Afternoon,66.0,Success
3210,City,10.0,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,2016-07-13,9,Wednesday,2016-07-13,10.0,Morning,65.51666666666667,Success
4350,City,10.0,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,2016-07-14,7,Thursday,2016-07-14,8.0,Early Morning,57.43333333333333,Success
4713,City,10.0,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,2016-07-14,13,Thursday,2016-07-14,14.0,Afternoon,39.53333333333333,Success
5629,Airport,10.0,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,2016-07-15,6,Friday,2016-07-15,7.0,Early Morning,46.88333333333333,Success
6157,Airport,10.0,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,2016-07-15,16,Friday,2016-07-15,17.0,Evening,71.88333333333334,Success
2030,City,11.0,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,2016-07-12,14,Tuesday,2016-07-12,15.0,Afternoon,51.0,Success
3226,City,11.0,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,2016-07-13,10,Wednesday,2016-07-13,11.0,Morning,62.583333333333336,Success
3353,City,11.0,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,2016-07-13,13,Wednesday,2016-07-13,14.0,Afternoon,39.266666666666666,Success
4293,City,11.0,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,2016-07-14,6,Thursday,2016-07-14,7.0,Early Morning,30.083333333333332,Success
4936,City,11.0,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,2016-07-14,18,Thursday,2016-07-14,19.0,Evening,52.31666666666667,Success
5661,Airport,11.0,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,2016-07-15,7,Friday,2016-07-15,7.0,Early Morning,50.166666666666664,Success
5778,City,11.0,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,2016-07-15,8,Friday,2016-07-15,9.0,Morning,51.016666666666666,Success
6425,Airport,11.0,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,2016-07-15,19,Friday,2016-07-15,20.0,Evening,40.18333333333333,Success
45,Airport,12.0,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,2016-07-11,3,Monday,2016-07-11,4.0,Night,52.0,Success
264,City,12.0,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,2016-07-11,6,Monday,2016-07-11,7.0,Early Morning,49.0,Success
1183,City,12.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,2016-07-11,21,Monday,2016-07-11,21.0,Night,33.0,Success
1536,Airport,12.0,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,2016-07-12,5,Tuesday,2016-07-12,6.0,Early Morning,60.0,Success
2437,City,12.0,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,2016-07-12,20,Tuesday,2016-07-12,21.0,Night,68.0,Success
2641,Airport,12.0,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,2016-07-12,22,Tuesday,2016-07-12,23.0,Night,37.0,Success
4077,Airport,12.0,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,2016-07-14,2,Thursday,2016-07-14,3.0,Night,58.9,Success
4610,City,12.0,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,2016-07-14,10,Thursday,2016-07-14,11.0,Morning,63.78333333333333,Success
5066,Airport,12.0,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,2016-07-14,19,Thursday,2016-07-14,20.0,Evening,42.71666666666667,Success
5666,Airport,12.0,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,2016-07-15,7,Friday,2016-07-15,8.0,Early Morning,67.7,Success
5923,City,12.0,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,2016-07-15,10,Friday,2016-07-15,10.0,Morning,43.016666666666666,Success
6367,City,12.0,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,2016-07-15,19,Friday,2016-07-15,19.0,Evening,41.3,Success
155,City,13.0,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,2016-07-11,5,Monday,2016-07-11,6.0,Early Morning,56.0,Success
310,Airport,13.0,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,2016-07-11,7,Monday,2016-07-11,8.0,Early Morning,64.0,Success
607,City,13.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,2016-07-11,11,Monday,2016-07-11,12.0,Morning,51.0,Success
1012,City,13.0,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,2016-07-11,19,Monday,2016-07-11,19.0,Evening,42.0,Success
1696,Airport,13.0,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,2016-07-12,8,Tuesday,2016-07-12,8.0,Morning,41.0,Success
3076,City,13.0,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,2016-07-13,8,Wednesday,2016-07-13,9.0,Morning,63.25,Success
4198,Airport,13.0,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,2016-07-14,5,Thursday,2016-07-14,6.0,Early Morning,73.3,Success
4627,City,13.0,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,2016-07-14,11,Thursday,2016-07-14,12.0,Morning,46.88333333333333,Success
5289,City,13.0,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,2016-07-14,21,Thursday,2016-07-14,22.0,Night,40.81666666666667,Success
5495,Airport,13.0,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,2016-07-15,5,Friday,2016-07-15,6.0,Early Morning,62.233333333333334,Success
6656,Airport,13.0,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,2016-07-15,22,Friday,2016-07-15,22.0,Night,32.6,Success
139,Airport,14.0,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,2016-07-11,5,Monday,2016-07-11,6.0,Early Morning,48.0,Success
215,City,14.0,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,2016-07-11,6,Monday,2016-07-11,7.0,Early Morning,52.0,Success
1816,City,14.0,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,2016-07-12,9,Tuesday,2016-07-12,10.0,Morning,43.0,Success
2505,Airport,14.0,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,2016-07-12,21,Tuesday,2016-07-12,22.0,Night,71.0,Success
3346,City,14.0,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,2016-07-13,13,Wednesday,2016-07-13,13.0,Afternoon,54.28333333333333,Success
5294,City,14.0,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,2016-07-14,21,Thursday,2016-07-14,22.0,Night,30.833333333333332,Success
6226,Airport,14.0,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,2016-07-15,17,Friday,2016-07-15,18.0,Evening,58.8,Success
6733,Airport,14.0,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,2016-07-15,23,Friday,2016-07-16,0.0,Night,65.03333333333333,Success
1027,Airport,15.0,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,2016-07-11,19,Monday,2016-07-11,20.0,Evening,66.0,Success
2675,Airport,15.0,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:12,2016-07-12,23,Tuesday,2016-07-13,0.0,Night,52.2,Success
3200,City,15.0,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,2016-07-13,9,Wednesday,2016-07-13,10.0,Morning,51.233333333333334,Success
3865,City,15.0,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,2016-07-13,21,Wednesday,2016-07-13,22.0,Night,29.166666666666668,Success
4468,City,15.0,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,2016-07-14,8,Thursday,2016-07-14,9.0,Morning,39.25,Success
5163,Airport,15.0,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,2016-07-14,20,Thursday,2016-07-14,21.0,Night,30.8,Success
6009,City,15.0,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,2016-07-15,12,Friday,2016-07-15,13.0,Afternoon,62.86666666666667,Success
6448,Airport,15.0,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,2016-07-15,20,Friday,2016-07-15,20.0,Night,37.85,Success
591,City,16.0,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,2016-07-11,11,Monday,2016-07-11,12.0,Morning,66.0,Success
709,City,16.0,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,2016-07-11,14,Monday,2016-07-11,15.0,Afternoon,47.0,Success
1167,Airport,16.0,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,2016-07-11,20,Monday,2016-07-11,21.0,Night,62.0,Success
2661,Airport,16.0,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:21,2016-07-12,23,Tuesday,2016-07-13,0.0,Night,64.35,Success
2808,City,16.0,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,2016-07-13,5,Wednesday,2016-07-13,5.0,Early Morning,50.916666666666664,Success
3258,Airport,16.0,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,2016-07-13,10,Wednesday,2016-07-13,10.0,Morning,32.61666666666667,Success
3413,Airport,16.0,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,2016-07-13,15,Wednesday,2016-07-13,16.0,Afternoon,73.71666666666667,Success
3939,Airport,16.0,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,2016-07-13,22,Wednesday,2016-07-13,22.0,Night,29.466666666666665,Success
4125,City,16.0,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,2016-07-14,4,Thursday,2016-07-14,5.0,Early Morning,69.3,Success
4457,City,16.0,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,2016-07-14,8,Thursday,2016-07-14,9.0,Morning,42.93333333333333,Success
4728,City,16.0,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,2016-07-14,14,Thursday,2016-07-14,15.0,Afternoon,62.45,Success
5347,Airport,16.0,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,2016-07-14,22,Thursday,2016-07-14,23.0,Night,61.916666666666664,Success
6147,City,16.0,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,2016-07-15,16,Friday,2016-07-15,17.0,Evening,79.1,Success
6496,Airport,16.0,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,2016-07-15,20,Friday,2016-07-15,21.0,Night,59.81666666666667,Success
634,City,17.0,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,2016-07-11,12,Monday,2016-07-11,13.0,Afternoon,41.0,Success
939,Airport,17.0,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,2016-07-11,18,Monday,2016-07-11,19.0,Evening,61.0,Success
2628,Airport,17.0,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,2016-07-12,22,Tuesday,2016-07-12,23.0,Night,75.0,Success
3021,City,17.0,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,2016-07-13,7,Wednesday,2016-07-13,8.0,Early Morning,52.78333333333333,Success
4743,City,17.0,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,2016-07-14,14,Thursday,2016-07-14,15.0,Afternoon,44.78333333333333,Success
4981,City,17.0,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,2016-07-14,18,Thursday,2016-07-14,19.0,Evening,56.03333333333333,Success
5367,Airport,17.0,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,2016-07-14,23,Thursday,2016-07-15,0.0,Night,49.86666666666667,Success
5471,Airport,17.0,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,2016-07-15,4,Friday,2016-07-15,5.0,Early Morning,58.266666666666666,Success
5988,Airport,17.0,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,2016-07-15,11,Friday,2016-07-15,12.0,Morning,66.5,Success
6477,Airport,17.0,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,2016-07-15,20,Friday,2016-07-15,21.0,Night,39.083333333333336,Success
499,City,18.0,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,2016-07-11,9,Monday,2016-07-11,10.0,Morning,37.0,Success
1147,Airport,18.0,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,2016-07-11,20,Monday,2016-07-11,21.0,Night,36.0,Success
1410,Airport,18.0,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,2016-07-12,3,Tuesday,2016-07-12,4.0,Night,73.0,Success
1804,Airport,18.0,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,2016-07-12,9,Tuesday,2016-07-12,9.0,Morning,45.0,Success
1949,Airport,18.0,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,2016-07-12,11,Tuesday,2016-07-12,12.0,Morning,41.0,Success
2713,City,18.0,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,2016-07-13,1,Wednesday,2016-07-13,2.0,Night,50.43333333333333,Success
